Account,Level,Account Name,Account Title,Standard Cost Equation?,Optional Variable,Optional Value,Sec Optional Variable,Sec Optional Value,Fixed Cost ($),Unit Cost,Unit Cost (units),Scaling Variable,Scaling Variable Ref Value,Units,Exponent,Dollar Year,Type,Source,Ref,Link,Notes,FOAK to NOAK Multiplier Type,Fixed Cost Low End,Fixed Cost High End,Fixed Cost Distribution,Unit Cost Low End,Unit Cost High End,Unit Cost Distribution,Exponent std,Exponent Max,Exponent Min,Exponent Distribution
62,1,Interest,      Interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0,Annualized O&M Cost ,Annualized O&M Cost ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1,O&M Staff,      O&M Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,2,Operators ,            Operators ,nonstandard,,,,,,178500,$/FTE,Number of Operators,,,1,2024,Labor,,"de Candido, I., A. Al Rashdan, A. Abou-Jaoude, and J. Buongiorno. 2024. “Assessment of Technoeconomic Opportunities in Automation for Nuclear Microreactors.” Nuclear Science and Engineering, 1–20. https://doi.org/10.1080/00295639.2024.2372511.",,,No Learning,0,0,Lognormal,160650,232050,Lognormal,0.1,1,0,Truncated Normal
712,2,Remote Monitoring Technicians ,            Remote Monitoring Technicians ,nonstandard,Operation Mode,Remotely Monitored,,,,178500,$/FTE,Reactors Monitored Per Operator,,,1,2024,Labor,,"de Candido, I., A. Al Rashdan, A. Abou-Jaoude, and J. Buongiorno. 2024. “Assessment of Technoeconomic Opportunities in Automation for Nuclear Microreactors.” Nuclear Science and Engineering, 1–20. https://doi.org/10.1080/00295639.2024.2372511.",,,No Learning,0,0,Lognormal,160650,232050,Lognormal,0.1,1,0,Truncated Normal
713,2,Security Staff ,            Security Staff ,nonstandard,,,,,,178500,$/FTE,Security Staff Per Shift,,,1,2024,Labor,,"de Candido, I., A. Al Rashdan, A. Abou-Jaoude, and J. Buongiorno. 2024. “Assessment of Technoeconomic Opportunities in Automation for Nuclear Microreactors.” Nuclear Science and Engineering, 1–20. https://doi.org/10.1080/00295639.2024.2372511.",,,No Learning,0,0,Lognormal,160650,232050,Lognormal,0.1,1,0,Truncated Normal
72,1,Variable Non-Fuel Costs,      Variable Non-Fuel Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,2,Coolant,            Coolant,nonstandard,Coolant,Helium,,,,170,$/Kg,Replacement Coolant Inventory,,Kg,,2024,Material,Fernandez de Losada. (2024). Assessment of the Lifecycle Cost of Nuclear-Grade Coolants for Advanced Reactors. ETHzurich. Swiss.,Fernandez de Losada. (2024). Assessment of the Lifecycle Cost of Nuclear-Grade Coolants for Advanced Reactors. ETHzurich. Swiss.,https://doi.org/10.3929/ethz-b-000709311,Vendor Quoate (Linde) for 3000 cylinders of 99.999% purity Helium. 3000 cylinders correspond to ~4 MT of He.,No Learning,0,0,Lognormal,153,221,Lognormal,0.1,1,0,Truncated Normal
721,2,Coolant,            Coolant,nonstandard,Coolant,NaK,,,,118,$/Kg,Replacement Coolant Inventory,,Kg,,2023,Material,MARVEL Project (communication with MARVEL Team),,,Vendor Quotes,No Learning,0,0,Lognormal,106.2,153.4,Lognormal,0.1,1,0,Truncated Normal
73,1,Regulatory Costs,      Regulatory Costs,standard,,,,,107180,,,,,,,2024,Labor,"NRC annual fees for operating reactors in FY25 is $5,359,000

One assumption could be to consider a single fee for the fleet of microreactors. 
Proposed cost = $5,359,000 per year / (100 reactors per fleet)
Another assumption (anecdotal evidence) is that licensing fee cost is 1-to-1 with the utility cost to support. 
 ",https://www.federalregister.gov/documents/2025/02/19/2025-02779/fee-schedules-fee-recovery-for-fiscal-year-2025,https://www.federalregister.gov/documents/2025/02/19/2025-02779/fee-schedules-fee-recovery-for-fiscal-year-2025,,Licensing Learning,96462,160770,Lognormal,,,,,,,
75,1,Capital Plant Expenditures,      Capital Plant Expenditures,,,,,,,,,,,,,,,"Venneri, (2023) and INL/EXT-21-63067","Venneri, (2023) and INL/EXT-21-63067",,"Implemented on non_direct_cost.py
Cost is scaled as a fraction of CAPEX unless specific parameters are added to indicate more/less frequent replacements (e.g. GCMR)",,,,,,,,,,,
751,2,Annualized Outer Vessel Structure Replacements,            Annualized Outer Vessel Structure Replacements,,,,,,,,,,,,,,,"Venneri, (2023) and INL/EXT-21-63067","Venneri, (2023) and INL/EXT-21-63067",,"Implemented on non_direct_cost.py
Cost is scaled as a fraction of CAPEX unless specific parameters are added to indicate more/less frequent replacements (e.g. GCMR)",,,,,,,,,,,
752,2,Annualized Inner Vessel Structure Replacements,            Annualized Inner Vessel Structure Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,2,Annualized Moderator Replacements,            Annualized Moderator Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,2,Annualized Reflector Replacements,            Annualized Reflector Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,2,Annualized Reactor Control Devices Replacements,            Annualized Reactor Control Devices Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,2,Annualized Moderator Booster Replacements,            Annualized Moderator Booster Replacements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,2,Annualized Plant Maintenance (Misc.),            Annualized Plant Maintenance (Misc.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.1,3,Annualized Building and Structural Maintenance (Accounts 212–215),                  Annualized Building and Structural Maintenance (Accounts 212–215),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.2,3,Annualized Main Heat Transport System Maintenance (Accounts 222.1–222.3 and 222.6),                  Annualized Main Heat Transport System Maintenance (Accounts 222.1–222.3 and 222.6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.3,3,Annualized Safety System Maintenance (Account 223),                  Annualized Safety System Maintenance (Account 223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.4,3,"Annualized Reactor Plant Equipment Maintenance (Accounts 221.11, 226, and 228)","                  Annualized Reactor Plant Equipment Maintenance (Accounts 221.11, 226, and 228)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.5,3,Annualized Reactor I&C Maintenance (Account 227),                  Annualized Reactor I&C Maintenance (Account 227),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.6,3,Annualized Energy Conversion System Maintenance (Account 23),                  Annualized Energy Conversion System Maintenance (Account 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.7,3,Annualized Electrical Equipment Maintenance (Account 24),                  Annualized Electrical Equipment Maintenance (Account 24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.8,3,Annualized Miscellaneous Equipment Maintenance (Account 26),                  Annualized Miscellaneous Equipment Maintenance (Account 26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1,Annualized Decommissioning Cost,      Annualized Decommissioning Cost,,,,,,,,,,,,,,,,,,"Implemented on non_direct_cost.py
The cost is scaled as a fraction of CAPEX (15%)",,,,,,,,,,,
80,0,Annualized Fuel Cost,Annualized Fuel Cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,1,Refueling Operations,      Refueling Operations,nonstandard,,,,,,178500,$/FTE,Number of Operators,,,1,2024,Labor,,"de Candido, I., A. Al Rashdan, A. Abou-Jaoude, and J. Buongiorno. 2024. “Assessment of Technoeconomic Opportunities in Automation for Nuclear Microreactors.” Nuclear Science and Engineering, 1–20. https://doi.org/10.1080/00295639.2024.2372511.",,,No Learning,0,0,Lognormal,160650,232050,Lognormal,0.1,1,0,Truncated Normal
82,1,Additional Nuclear Fuel,      Additional Nuclear Fuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,1,Spent Fuel Management,      Spent Fuel Management,standard,,,,,,1,$/MWeHour,Annual Electricity Production,,,1,2024,Lab and Mat and Equip,,,,,No Learning,0,0,Lognormal,0.9,1.3,Lognormal,0.1,1,0,Truncated Normal
